env_code	date	TMAX	TMIN	DL	GDD	PTT	PTR	PTS
TS_07	2007-05-14	70.7	60.26	14.019	15.48	217.0141	1.1042	268703.4463
TS_07	2007-05-15	71.78	57.11	14.047	14.445	202.9089	1.0283	373092.4859
TS_07	2007-05-16	73.4	53.96	14.073	13.68	192.5186	0.9721	490346.0558
TS_07	2007-05-17	74.39	59.72	14.1	17.055	240.4755	1.2096	391137.5415
TS_07	2007-05-18	75.38	59.63	14.126	17.505	247.2756	1.2392	424311.5945
TS_07	2007-05-19	73.04	58.01	14.151	15.525	219.6943	1.0971	394430.2981
TS_07	2007-05-20	76.91	58.01	14.176	17.46	247.513	1.2317	512442.9773
TS_07	2007-05-21	72.59	56.39	14.2	14.49	205.758	1.0204	421321.9406
TS_07	2007-05-22	76.01	62.69	14.224	19.35	275.2344	1.3604	373786.983
TS_07	2007-05-23	80.87	64.4	14.247	22.635	322.4808	1.5888	485642.1625
TS_07	2007-05-24	80.87	66.2	14.269	23.535	335.8209	1.6494	439279.8498
TS_07	2007-05-25	81.725	65.03	14.291	23.3775	334.0879	1.6358	500385.3297
TS_07	2007-05-26	82.58	63.86	14.313	23.22	332.3479	1.6223	561599.7518
TS_07	2007-05-27	82.94	59.18	14.333	21.06	301.853	1.4693	693706.6167
TS_07	2007-05-28	67.46	59.18	14.353	13.32	191.182	0.928	216016.3424
TS_07	2007-05-29	72.05	54.5	14.372	13.275	190.7883	0.9237	458747.4755
TS_07	2007-05-30	70.79	57.02	14.391	13.905	200.1069	0.9662	364485.8908
TS_07	2007-05-31	74.12	57.02	14.409	15.57	224.3481	1.0806	465584.9919
TS_07	2007-06-01	71.24	59.54	14.426	15.39	222.0161	1.0668	318433.7201
TS_07	2007-06-02	76.19	60.8	14.443	18.495	267.1233	1.2806	439786.9194
TS_07	2007-06-03	76.37	65.66	14.459	21.015	303.8559	1.4534	318013.8784
TS_07	2007-06-04	77.99	66.02	14.474	22.005	318.5004	1.5203	361130.3072
TS_07	2007-06-05	76.55	64.13	14.488	20.34	294.6859	1.4039	366750.5975
TS_07	2007-06-06	79.16	66.02	14.502	22.59	327.6002	1.5577	401197.2605
TS_07	2007-06-07	77.99	68.18	14.514	23.085	335.0557	1.5905	302065.7546
TS_07	2007-06-08	79.07	65.84	14.526	22.455	326.1813	1.5458	404529.5769
TS_07	2007-06-09	77.99	64.67	14.538	21.33	310.0955	1.4672	401620.4085
TS_07	2007-06-10	73.94	64.67	14.548	19.305	280.8491	1.327	271944.8774
TS_07	2007-06-11	76.64	63.5	14.558	20.07	292.1791	1.3786	390266.1719
TS_07	2007-06-12	81.59	65.12	14.566	23.355	340.1889	1.6034	512665.3053
TS_07	2007-06-13	82.22	68.63	14.574	25.425	370.5439	1.7445	435433.9645
TS_07	2007-06-14	77.36	66.245	14.582	21.8025	317.9241	1.4952	339401.077
TS_07	2007-06-15	86.99	63.86	14.588	25.425	370.8999	1.7429	742527.3528
TS_07	2007-06-16	88.34	63.77	14.593	26.055	380.2206	1.7854	795888.2402
TS_07	2007-06-17	80.69	63.68	14.598	22.185	323.8566	1.5197	523320.7905
TS_07	2007-06-18	80.96	69.26	14.602	25.11	366.6562	1.7196	374747.1232
TS_07	2007-06-19	86.81	71.24	14.605	29.025	423.9101	1.9873	524911.6786
TS_07	2007-06-20	83.12	72.41	14.607	27.765	405.5634	1.9008	355406.7742
TS_07	2007-06-21	84.02	73.94	14.608	28.98	423.3398	1.9838	339773.2447
TS_07	2007-06-22	78.44	72.005	14.609	25.2225	368.4755	1.7265	206617.5883
TS_07	2007-06-23	87.17	70.07	14.608	28.62	418.081	1.9592	573773.7373
TS_07	2007-06-24	78.17	68.09	14.607	23.13	337.8599	1.5835	314563.3779
TS_07	2007-06-25	73.94	66.11	14.605	20.025	292.4651	1.3711	233909.5739
TS_07	2007-06-26	81.005	69.17	14.602	25.0875	366.3277	1.7181	378957.5737
TS_07	2007-06-27	88.07	71.78	14.598	29.925	436.8452	2.0499	554907.3069
TS_07	2007-06-28	86.72	72.5	14.593	29.61	432.0987	2.0291	482154.6737
TS_07	2007-06-29	86.63	77	14.588	31.815	464.1172	2.1809	335336.4225
TS_07	2007-06-30	84.65	72.41	14.582	28.53	416.0245	1.9565	408772.0554
TS_07	2007-07-01	81.77	67.82	14.574	24.795	361.3623	1.7013	443235.2583
TS_07	2007-07-02	77.45	72.68	14.566	25.065	365.0968	1.7208	151938.0243
TS_07	2007-07-03	80.06	70.16	14.558	25.11	365.5514	1.7248	315185.6108
TS_07	2007-07-04	83.21	70.16	14.548	26.685	388.2134	1.8343	423601.5241
TS_07	2007-07-05	86.36	67.64	14.538	27	392.526	1.8572	609306.6166
TS_07	2007-07-06	85.91	70.16	14.527	28.035	407.2644	1.9299	518742.5368
TS_07	2007-07-07	77.54	69.575	14.515	23.5575	341.9371	1.623	246874.8315
TS_07	2007-07-08	79.88	69.575	14.502	24.7275	358.5982	1.7051	323902.4601
TS_07	2007-07-09	81.77	68.99	14.488	25.38	367.7054	1.7518	404421.1476
TS_07	2007-07-10	77.9	71.33	14.474	24.615	356.2775	1.7006	205399.1515
TS_07	2007-07-11	80.42	72.14	14.459	26.28	379.9825	1.8176	264087.3096
TS_07	2007-07-12	80.51	72.86	14.444	26.685	385.4381	1.8475	244780.497
TS_07	2007-07-13	79.43	71.6	14.427	25.515	368.1049	1.7686	246137.0822
TS_07	2007-07-14	80.285	70.34	14.41	25.3125	364.7531	1.7566	311049.7159
TS_07	2007-07-15	81.14	69.62	14.392	25.38	365.269	1.7635	359733.521
TS_07	2007-07-16	84.47	67.19	14.374	25.83	371.2804	1.797	541464.6029
TS_07	2007-07-17	69.53	67.19	14.355	18.36	263.5578	1.279	65925.6318
TS_07	2007-07-18	72.86	64.76	14.335	18.81	269.6413	1.3122	229066.704
TS_07	2007-07-19	77.18	67.28	14.314	22.23	318.2002	1.553	293025.1054
TS_07	2007-07-20	83.3	67.82	14.293	25.56	365.3291	1.7883	477902.9251
TS_07	2007-07-21	81.05	70.07	14.272	25.56	364.7923	1.7909	337982.3016
TS_07	2007-07-22	81.86	72.32	14.249	27.09	386.0054	1.9012	298638.0829
TS_07	2007-07-23	79.43	71.915	14.226	25.6725	365.217	1.8046	230177.3953
TS_07	2007-07-24	88.61	71.915	14.203	30.2625	429.8183	2.1307	540616.4745
TS_07	2007-07-25	86.72	71.51	14.179	29.115	412.8216	2.0534	483848.3308
TS_07	2007-07-26	88.34	76.28	14.154	32.31	457.3157	2.2827	397729.9427
TS_07	2007-07-27	90.86	76.19	14.129	33.525	473.6747	2.3728	489214.6389
TS_07	2007-07-28	89.15	76.1	14.104	32.625	460.143	2.3132	428979.5392
TS_07	2007-07-29	89.69	71.825	14.078	30.7575	433.0041	2.1848	571870.6449
TS_07	2007-07-30	75.02	71.825	14.051	23.4225	329.1095	1.667	92628.4706
TS_07	2007-07-31	81.41	67.55	14.024	24.48	343.3075	1.7456	406047.3683
TS_07	2007-08-01	89.6	72.41	13.997	31.005	433.977	2.2151	545616.6615
TS_08E	2008-03-31	52.52	43.34	12.549	1.26	15.8117	0.1004	138579.294
TS_08E	2008-04-01	62.15	43.34	12.587	6.075	76.466	0.4826	314372.5025
TS_08E	2008-04-02	61.16	46.4	12.625	5.58	70.4475	0.442	253046.261
TS_08E	2008-04-03	65.3	48.11	12.662	7.65	96.8643	0.6042	312558.8825
TS_08E	2008-04-04	64.76	50.72	12.7	7.74	98.298	0.6094	261505.7996
TS_08E	2008-04-05	66.74	47.48	12.737	8.37	106.6087	0.6571	356888.6498
TS_08E	2008-04-06	66.83	48.83	12.775	8.415	107.5016	0.6587	339764.1172
TS_08E	2008-04-07	60.62	49.19	12.812	5.31	68.0317	0.4145	206025.9768
TS_08E	2008-04-08	54.68	48.83	12.849	2.34	30.0667	0.1821	99971.6437
TS_08E	2008-04-09	60.71	48.83	12.886	5.355	69.0045	0.4156	216085.4034
TS_08E	2008-04-10	51.62	48.47	12.923	0.81	10.4676	0.0627	52653.5832
TS_08E	2008-04-11	67.46	49.01	12.96	8.73	113.1408	0.6736	360927.8953
TS_08E	2008-04-12	68.63	48.38	12.997	9.315	121.0671	0.7167	400252.6765
TS_08E	2008-04-13	52.7	48.425	13.033	1.35	17.5946	0.1036	73431.6766
TS_08E	2008-04-14	61.88	48.47	13.07	5.94	77.6358	0.4545	252785.5767
TS_08E	2008-04-15	68.63	51.62	13.106	10.125	132.6983	0.7725	351341.7223
TS_08E	2008-04-16	69.08	55.13	13.142	12.105	159.0839	0.9211	299263.4616
TS_08E	2008-04-17	67.91	53.96	13.178	10.935	144.1014	0.8298	295236.4844
TS_08E	2008-04-18	59.54	53.96	13.214	6.75	89.1945	0.5108	110585.6221
TS_08E	2008-04-19	61.79	52.79	13.249	7.29	96.5852	0.5502	181016.235
TS_08E	2008-04-20	62.33	57.02	13.285	9.675	128.5324	0.7283	111851.0491
TS_08E	2008-04-21	66.2	54.455	13.32	10.3275	137.5623	0.7753	251424.0366
TS_08E	2008-04-22	69.71	51.89	13.355	10.8	144.234	0.8087	386481.8108
TS_08E	2008-04-23	71.33	52.34	13.389	11.835	158.4588	0.8839	421003.4053
TS_08E	2008-04-24	68	51.71	13.424	9.855	132.2935	0.7341	351411.0407
TS_08E	2008-04-25	64.4	51.71	13.458	8.055	108.4042	0.5985	266865.4156
TS_08E	2008-04-26	61.52	51.08	13.492	6.3	84.9996	0.4669	213989.0517
TS_08E	2008-04-27	65.12	51.71	13.526	8.415	113.8213	0.6221	286630.1828
TS_08E	2008-04-28	66.47	54.5	13.559	10.485	142.1661	0.7733	266211.7084
TS_08E	2008-04-29	71.69	54.5	13.592	13.095	177.9872	0.9634	400744.4798
TS_08E	2008-04-30	77.9	58.73	13.625	18.315	249.5419	1.3442	486229.3866
TS_08E	2008-05-01	74.93	62.96	13.657	18.945	258.7319	1.3872	307848.8537
TS_08E	2008-05-02	70.97	62.96	13.69	16.965	232.2508	1.2392	201056.1126
TS_08E	2008-05-03	69.17	61.61	13.722	15.39	211.1816	1.1216	186164.9674
TS_08E	2008-05-04	69.08	61.61	13.753	15.345	211.0398	1.1158	184653.6284
TS_08E	2008-05-05	69.53	60.26	13.784	14.895	205.3127	1.0806	228597.51
TS_08E	2008-05-06	77.81	61.52	13.815	19.665	271.672	1.4235	433179.1053
TS_08E	2008-05-07	77.72	59.72	13.845	18.72	259.1784	1.3521	474210.9431
TS_08E	2008-05-08	74.3	61.52	13.875	17.91	248.5012	1.2908	334164.6946
TS_08E	2008-05-09	74.39	55.445	13.905	14.9175	207.4278	1.0728	475585.2517
TS_08E	2008-05-10	60.17	55.445	13.934	7.8075	108.7897	0.5603	106063.904
TS_08E	2008-05-11	57.11	49.37	13.963	3.555	49.6385	0.2546	160681.7227
TS_08E	2008-05-12	58.55	49.145	13.991	4.275	59.8115	0.3056	198267.6475
TS_08E	2008-05-13	55.13	48.92	14.019	2.565	35.9587	0.183	126989.4833
TS_08E	2008-05-14	63.14	51.62	14.047	7.38	103.6669	0.5254	260861.6179
TS_08E	2008-05-15	71.15	53.33	14.073	12.24	172.2535	0.8698	439319.676
TS_08E	2008-05-16	72.95	56.93	14.1	14.94	210.654	1.0596	413659.5137
TS_08E	2008-05-17	73.94	57.83	14.126	15.885	224.3915	1.1245	423594.6733
TS_08E	2008-05-18	73.76	58.82	14.151	16.29	230.5198	1.1512	396645.8129
TS_08E	2008-05-19	75.74	59.45	14.176	17.595	249.4267	1.2412	442560.9202
TS_08E	2008-05-20	74.84	59.54	14.2	17.19	244.098	1.2106	414574.663
TS_08E	2008-05-21	75.47	59.63	14.224	17.55	249.6312	1.2338	432966.2195
TS_08E	2008-05-22	79.43	62.6	14.247	21.015	299.4007	1.475	485189.1178
TS_08E	2008-05-23	84.38	67.73	14.269	26.055	371.7788	1.826	515654.8182
TS_08E	2008-05-24	77.72	66.785	14.291	22.2525	318.0105	1.5571	322720.7574
TS_08E	2008-05-25	73.4	65.84	14.313	19.62	280.8211	1.3708	215648.8531
TS_08E	2008-05-26	80.96	66.11	14.333	23.535	337.3272	1.642	448667.6405
TS_08E	2008-05-27	82.67	66.38	14.353	24.525	352.0073	1.7087	500193.9499
TS_08E	2008-05-28	78.08	60.53	14.372	19.305	277.4515	1.3432	502465.3306
TS_08E	2008-05-29	63.14	60.53	14.391	11.835	170.3175	0.8224	66847.7531
TS_08E	2008-05-30	62.78	60.53	14.409	11.655	167.9369	0.8089	57603.4505
TS_08E	2008-05-31	68.675	54.68	14.426	11.6775	168.4596	0.8095	359270.465
TS_08E	2008-06-01	74.57	55.94	14.443	15.255	220.328	1.0562	507190.9166
TS_08E	2008-06-02	71.06	57.155	14.459	14.1075	203.9803	0.9757	372723.1307
TS_08E	2008-06-03	71.915	57.155	14.474	14.535	210.3796	1.0042	399106.5029
TS_08E	2008-06-04	72.77	58.37	14.488	15.57	225.5782	1.0747	396382.5672
TS_08E	2008-06-05	71.78	60.62	14.502	16.2	234.9324	1.1171	310747.7418
TS_08E	2008-06-06	79.97	65.84	14.514	22.905	332.4432	1.5781	434013.9705
TS_08E	2008-06-07	79.07	66.38	14.526	22.725	330.1034	1.5644	389464.0963
TS_08E	2008-06-08	74.21	66.92	14.538	20.565	298.974	1.4146	217448.3912
TS_08E	2008-06-09	72.41	65.615	14.548	19.0125	276.5938	1.3069	198496.9334
TS_08E	2008-06-10	79.7	64.31	14.558	22.005	320.3488	1.5115	469715.2931
TS_08E	2008-06-11	78.44	61.52	14.566	19.98	291.0287	1.3717	502440.8061
TS_08E	2008-06-12	79.295	61.52	14.574	20.4075	297.4189	1.4003	531638.0536
TS_08E	2008-06-13	80.15	58.73	14.582	19.44	283.4741	1.3332	632547.8182
TS_08E	2008-06-14	84.2	61.7	14.588	22.95	334.7946	1.5732	698601.1871
TS_08E	2008-06-15	75.92	64.67	14.593	20.295	296.1649	1.3907	336818.6403
TS_08E	2008-06-16	80.15	67.1	14.598	23.625	344.8777	1.6184	409498.706
TS_08E	2008-06-17	77.99	66.425	14.602	22.2075	324.2739	1.5209	356108.7377
TS_08E	2008-06-18	78.8	65.75	14.605	22.275	325.3264	1.5252	402375.6862
TS_08L	2008-06-23	77.36	64.04	14.607	20.7	302.3649	1.4171	401860.8447
TS_08L	2008-06-24	80.6	66.29	14.605	23.445	342.4142	1.6053	448368.39
TS_08L	2008-06-25	78.17	63.635	14.602	20.9025	305.2183	1.4315	439472.0591
TS_08L	2008-06-26	77.18	60.98	14.598	19.08	278.5298	1.307	476962.3053
TS_08L	2008-06-27	76.19	62.24	14.593	19.215	280.4045	1.3167	411238.3344
TS_08L	2008-06-28	78.17	63.41	14.588	20.79	303.2845	1.4251	444712.9485
TS_08L	2008-06-29	73.58	63.41	14.582	18.495	269.6941	1.2683	296240.2097
TS_08L	2008-06-30	77.54	63.41	14.574	20.475	298.4026	1.4049	423023.771
TS_08L	2008-07-01	77.81	64.58	14.566	21.195	308.7264	1.4551	399686.9287
TS_08L	2008-07-02	79.43	69.35	14.558	24.39	355.0696	1.6754	317839.974
TS_08L	2008-07-03	81.59	71.15	14.548	26.37	383.6308	1.8126	337489.1924
TS_08L	2008-07-04	86.81	73.58	14.538	30.195	438.9749	2.077	448483.4906
TS_08L	2008-07-05	87.08	75.38	14.527	31.23	453.6782	2.1498	401129.1135
TS_08L	2008-07-06	86.27	73.85	14.515	30.06	436.3209	2.071	418987.6844
TS_08L	2008-07-07	79.52	72.32	14.502	25.92	375.8918	1.7873	229918.8048
TS_08L	2008-07-08	78.08	71.51	14.488	24.795	359.23	1.7114	206293.1495
TS_08L	2008-07-09	79.97	71.51	14.474	25.74	372.5608	1.7784	268474.3478
TS_08L	2008-07-10	81.59	70.7	14.459	26.145	378.0306	1.8082	346717.5155
TS_08L	2008-07-11	84.29	73.49	14.444	28.89	417.2872	2.0001	355509.0548
TS_08L	2008-07-12	92.39	75.38	14.427	33.885	488.8589	2.3487	593978.4404
TS_08L	2008-07-13	90.68	75.29	14.41	32.985	475.3139	2.289	530391.0359
TS_08L	2008-07-14	90.59	77.63	14.392	34.11	490.9111	2.3701	451569.8429
TS_08L	2008-07-15	88.34	75.83	14.374	32.085	461.1898	2.2322	424332.5908
TS_08L	2008-07-16	88.97	74.03	14.355	31.5	452.1825	2.1944	501816.1054
TS_08L	2008-07-17	87.98	77.18	14.335	32.58	467.0343	2.2728	366542.2355
TS_08L	2008-07-18	88.79	75.56	14.314	32.175	460.5529	2.2478	445503.9699
TS_08L	2008-07-19	92.12	75.56	14.293	33.84	483.6751	2.3676	567268.1303
TS_08L	2008-07-20	89.69	73.94	14.272	31.815	454.0637	2.2292	524944.2253
TS_08L	2008-07-21	86.9	74.75	14.249	30.825	439.2254	2.1633	398768.4221
TS_08L	2008-07-22	90.77	77	14.226	33.885	482.048	2.3819	467534.7045
TS_08L	2008-07-23	92.03	79.34	14.203	35.685	506.8341	2.5125	438688.8467
TS_08L	2008-07-24	90.59	79.88	14.179	35.235	499.5971	2.485	367052.8808
TS_08L	2008-07-25	92.84	78.08	14.154	35.46	501.9008	2.5053	505402.7773
TS_08L	2008-07-26	88.25	76.28	14.129	32.265	455.8722	2.2836	393153.4566
TS_08L	2008-07-27	91.85	77	14.104	34.425	485.5302	2.4408	498783.5446
TS_08L	2008-07-28	93.11	75.65	14.078	34.38	484.0016	2.4421	583976.9127
TS_08L	2008-07-29	91.04	74.075	14.051	32.5575	457.4654	2.3171	553037.8563
TS_08L	2008-07-30	88.52	74.075	14.024	31.2975	438.9161	2.2317	461921.8849
TS_08L	2008-07-31	87.44	72.5	13.997	29.97	419.4901	2.1412	468142.0088
TS_08L	2008-08-01	88.34	74.84	13.969	31.59	441.2807	2.2614	429864.2538
TS_08L	2008-08-02	88.52	77.81	13.94	33.165	462.3201	2.3791	346166.9534
TS_08L	2008-08-03	92.03	80.69	13.911	36.36	505.804	2.6138	379028.9524
TS_08L	2008-08-04	94.82	81.86	13.882	38.34	532.2359	2.7618	441261.9423
TS_08L	2008-08-05	87.08	80.06	13.853	33.57	465.0452	2.4233	225167.2265
TS_08L	2008-08-06	94.01	78.26	13.823	36.135	499.4941	2.6141	518435.6141
TS_08L	2008-08-07	92.48	81.14	13.792	36.81	507.6835	2.6689	374513.3501
TS_08L	2008-08-08	95	81.59	13.761	38.295	526.9775	2.7829	448430.2219
TS_08L	2008-08-09	91.76	78.575	13.73	35.1675	482.8498	2.5614	423374.8965
TS_08L	2008-08-10	85.01	75.56	13.699	30.285	414.8742	2.2107	284756.6973
TS_08L	2008-08-11	90.14	75.38	13.667	32.76	447.7309	2.397	456334.4162
TS_08L	2008-08-12	91.49	77.36	13.635	34.425	469.3849	2.5248	443561.1608
TS_08L	2008-08-13	90.05	79.7	13.603	34.875	474.4046	2.5638	325101.9159
TS_08L	2008-08-14	93.56	81.32	13.57	37.44	508.0608	2.759	394167.9038
TS_08L	2008-08-15	94.64	82.13	13.537	38.385	519.6177	2.8356	405238.5283
TS_08L	2008-08-16	93.92	75.875	13.504	34.8975	471.2558	2.5842	558735.9845
TS_08L	2008-08-17	89.78	75.875	13.471	32.8275	442.2193	2.4369	417998.9726
TS_08L	2008-08-18	85.64	69.62	13.437	27.63	371.2643	2.0563	449083.1166
TS_08L	2008-08-19	93.2	75.92	13.403	34.56	463.2077	2.5785	524979.9816
TS_08L	2008-08-20	90.86	71.69	13.369	31.275	418.1155	2.3394	556938.1056
TS_08L	2008-08-21	88.34	71.69	13.334	30.015	400.22	2.251	473736.1701
TS_08L	2008-08-22	78.35	67.46	13.3	22.905	304.6365	1.7222	280878.4835
TS_08L	2008-08-23	74.84	68.36	13.265	21.6	286.524	1.6283	163279.8273
TS_08L	2008-08-24	78.8	68.9	13.23	23.85	315.5355	1.8027	255938.3574
TS_08L	2008-08-25	79.25	68.945	13.195	24.0975	317.9665	1.8263	265888.979
TS_08L	2008-08-26	76.55	68.945	13.159	22.7475	299.3344	1.7287	191598.9219
TS_08L	2008-08-27	84.74	68.99	13.124	26.865	352.5763	2.047	417034.1585
TS_08L	2008-08-28	86.18	72.59	13.088	29.385	384.5909	2.2452	369602.1375
TS_08L	2008-08-29	86.72	74.12	13.052	30.42	397.0418	2.3307	345238.1175
TS_08L	2008-08-30	85.1	73.58	13.016	29.34	381.8894	2.2541	309691.8317
TS_08L	2008-08-31	86.09	73.04	12.98	29.565	383.7537	2.2777	349874.233
TS_08L	2008-09-01	86.45	74.75	12.944	30.6	396.0864	2.364	316000.6004
TS_08L	2008-09-02	88.43	77.54	12.908	32.985	425.7704	2.5554	301144.813
TS_08L	2008-09-03	88.79	79.7	12.871	34.245	440.7674	2.6606	253724.6103
